frame_index,timestamp,request_id,source_node,target_node,area_id,upload_type,plan_index,tx_events,rx_events,drop_events,matched
1,000062,46,16,1,15_8,leader_to_rsu,108,1,0,0,1
1,000062,47,16,5,16_4,member_to_leader,109,3,3,0,1
1,000062,48,5,1,16_4,leader_to_rsu,110,1,0,0,1
1,000062,49,3,14,12_7,member_to_leader,111,4,0,0,1
1,000062,50,14,1,12_7,leader_to_rsu,112,1,0,0,1
1,000062,51,7,1,6_13,leader_to_rsu,113,1,0,0,1
1,000062,52,12,1,10_6,leader_to_rsu,114,1,0,0,1
1,000062,53,9,1,12_11,leader_to_rsu,115,1,0,0,1
1,000062,54,6,1,9_6,leader_to_rsu,116,1,0,0,1
1,000062,55,5,16,16_6,member_to_leader,117,4,2,0,1
1,000062,56,16,1,16_6,leader_to_rsu,118,1,0,0,1
1,000062,57,3,21,11_6,member_to_leader,119,3,1,0,1
1,000062,58,21,1,11_6,leader_to_rsu,120,1,0,0,1
1,000062,59,16,5,15_7,member_to_leader,121,3,3,0,1
1,000062,60,5,1,15_7,leader_to_rsu,122,1,0,0,1
1,000062,61,2,20,14_2,member_to_leader,123,3,1,0,1
1,000062,62,20,1,14_2,leader_to_rsu,124,1,0,0,1
2,000064,1,14,17,12_9,member_to_leader,125,4,1,0,1
2,000064,2,17,1,12_9,leader_to_rsu,126,1,0,0,1
2,000064,3,13,4,13_2,member_to_leader,127,4,1,0,1
2,000064,4,4,1,13_2,leader_to_rsu,128,1,0,0,1
2,000064,5,13,1,13_0,leader_to_rsu,129,1,0,0,1
2,000064,6,2,1,14_1,leader_to_rsu,130,1,0,0,1
2,000064,7,3,21,11_7,member_to_leader,131,3,0,0,1
2,000064,8,21,1,11_7,leader_to_rsu,132,1,0,0,1
2,000064,9,4,1,13_3,leader_to_rsu,133,1,0,0,1
2,000064,10,3,1,12_4,leader_to_rsu,134,1,0,0,1
2,000064,11,14,19,14_11,member_to_leader,135,4,0,0,1
2,000064,12,19,1,14_11,leader_to_rsu,136,1,0,0,1
2,000064,13,20,1,15_4,leader_to_rsu,137,1,0,0,1
2,000064,14,20,2,14_3,member_to_leader,138,3,0,0,1
2,000064,15,2,1,14_3,leader_to_rsu,139,1,0,0,1
2,000064,16,16,5,17_5,member_to_leader,140,3,1,0,1
2,000064,17,5,1,17_5,leader_to_rsu,141,1,0,0,1
2,000064,18,5,16,18_7,member_to_leader,142,3,0,0,1
2,000064,19,16,1,18_7,leader_to_rsu,143,1,0,0,1
2,000064,20,2,20,15_3,member_to_leader,144,3,0,0,1
2,000064,21,20,1,15_3,leader_to_rsu,145,1,0,0,1
2,000064,22,5,1,16_7,leader_to_rsu,146,1,0,0,1
2,000064,23,19,1,14_9,leader_to_rsu,147,1,0,0,1
2,000064,24,19,1,14_10,leader_to_rsu,148,1,0,0,1
2,000064,25,9,1,12_11,leader_to_rsu,149,1,0,0,1
2,000064,26,3,1,12_5,leader_to_rsu,150,1,0,0,1
2,000064,27,16,1,15_6,leader_to_rsu,151,1,0,0,1
2,000064,28,21,3,11_5,member_to_leader,152,4,1,0,1
2,000064,29,3,1,11_5,leader_to_rsu,153,1,0,0,1
2,000064,30,16,5,16_8,member_to_leader,154,2,1,0,1
2,000064,31,5,1,16_8,leader_to_rsu,155,1,0,0,1
2,000064,32,20,2,15_2,member_to_leader,156,3,0,0,1
2,000064,33,2,1,15_2,leader_to_rsu,157,1,0,0,1
2,000064,34,21,12,11_8,member_to_leader,158,4,1,0,1
2,000064,35,12,1,11_8,leader_to_rsu,159,1,0,0,1
2,000064,36,19,1,15_9,leader_to_rsu,160,1,0,0,1
2,000064,37,3,1,11_4,leader_to_rsu,161,1,0,0,1
2,000064,38,4,1,12_3,leader_to_rsu,162,1,0,0,1
2,000064,39,5,1,17_7,leader_to_rsu,163,1,0,0,1
2,000064,40,5,16,16_5,member_to_leader,164,2,1,0,1
2,000064,41,16,1,16_5,leader_to_rsu,165,1,0,0,1
2,000064,42,19,16,15_8,member_to_leader,166,4,1,0,1
2,000064,43,16,1,15_8,leader_to_rsu,167,1,0,0,1
2,000064,44,3,14,12_7,member_to_leader,168,4,1,0,1
2,000064,45,14,1,12_7,leader_to_rsu,169,1,0,0,1
2,000064,46,16,5,16_4,member_to_leader,170,3,2,0,1
2,000064,47,5,1,16_4,leader_to_rsu,171,1,0,0,1
2,000064,48,19,14,13_9,member_to_leader,172,4,1,0,1
2,000064,49,14,1,13_9,leader_to_rsu,173,1,0,0,1
2,000064,50,7,1,6_13,leader_to_rsu,174,1,0,0,1
2,000064,51,12,1,10_6,leader_to_rsu,175,1,0,0,1
2,000064,52,14,9,12_10,member_to_leader,176,4,1,0,1
2,000064,53,9,1,12_10,leader_to_rsu,177,1,0,0,1
2,000064,54,6,1,9_6,leader_to_rsu,178,1,0,0,1
2,000064,55,5,16,16_6,member_to_leader,179,4,3,0,1
2,000064,56,16,1,16_6,leader_to_rsu,180,1,1,0,1
2,000064,57,3,21,11_6,member_to_leader,181,3,1,0,1
2,000064,58,21,1,11_6,leader_to_rsu,182,1,0,0,1
2,000064,59,2,20,14_2,member_to_leader,183,3,0,0,1
2,000064,60,20,1,14_2,leader_to_rsu,184,1,0,0,1
2,000064,61,16,5,15_7,member_to_leader,185,3,2,0,1
2,000064,62,5,1,15_7,leader_to_rsu,186,1,1,0,1
